id,idx,sex,age,schooling,income,visitation,start,deslocation_time,permanence,fuel_consumption,vehicle_with_engine,distance,age_dummy,schooling_dummy,years_dummy,fuel_price,fuel_cost,travel_cost,start_clean,distance_fixed,income_mid,travel_cost_new,age_old_dummy,schooling_below_dummy,income_dummy,sex_dummy
96,96,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,1,Silvania,32,mais de duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,1,0,0,1
97,97,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,1,Silvania,32,mais de duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,1,0,0,1
98,98,Feminino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,3,Silvania,32,mais de duas horas,15.8,Diesel,8,1,1,0,6.18,97.644,97.644,Silvania,8,970,4.512727272727273,1,0,0,1
99,99,Masculino,19 a 35 anos,Mestrado incompleto,ate 1,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,121,30.741750000000003,0,0,1,0
100,100,Feminino,36 a 59 anos,Especializacao completa,acima de 1 ate 3,3,Silvania,30,mais de duas horas,15.8,Gasolina,8,0,1,0,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,1,0,1,1
101,101,Feminino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,1
102,102,Masculino,19 a 35 anos,Mestrado incompleto,ate 1,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,0,1,1,5.87,686.79,686.79,Anapolis,58.5,121,30.741750000000003,0,0,1,0
103,103,Masculino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,0
104,104,Masculino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,0
105,105,Feminino,19 a 35 anos,Graduacao incompleta,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,0,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,1,1,1
